> EU\AF
166.951 -44.987
166.710 -45.211
166.537 -45.350
166.377 -45.515
166.205 -45.736
166.019 -45.887
165.920 -45.958
165.733 -46.065
165.427 -46.190
165.168 -46.405
165.021 -46.601
164.943 -46.783
164.923 -47.011
164.838 -47.148
164.739 -47.256
164.699 -47.444
164.651 -47.521
164.528 -47.658
164.480 -47.759
164.483 -47.920
164.398 -48.059
164.389 -48.202
164.309 -48.274
164.287 -48.429
164.215 -48.592
164.130 -48.742
163.964 -48.917
163.868 -49.116
163.740 -49.322
163.545 -49.573
163.448 -49.761
163.412 -49.847
163.296 -49.985
163.235 -50.079
> ON/PS
125.550 23.380
125.954 23.498
126.426 23.761
126.901 24.101
127.398 24.503
127.907 24.969
128.462 25.458
> CL\WL
138.793 -1.159
139.257 -1.390
139.805 -1.557
140.226 -1.767
140.837 -1.893
141.195 -2.167
141.594 -2.272
141.868 -2.398
142.246 -2.693
> NB\WL
142.246 -2.693
142.449 -2.814
142.633 -2.932
142.936 -3.018
143.172 -3.053
143.508 -3.156
143.743 -3.460
> SW/SA
-26.071 -60.391
-25.069 -59.973
-24.456 -59.386
-23.991 -58.921
-23.819 -58.195
-24.130 -57.425
-24.233 -57.174
-24.696 -56.734
-25.149 -56.292
-25.721 -55.840
-26.414 -55.424
-26.995 -55.232
-27.604 -55.095
-28.647 -55.005
> AS/AF
20.300 37.804
20.760 37.098
21.327 36.629
21.599 36.216
21.893 35.933
22.375 35.742
22.866 35.437
23.399 34.990
23.874 34.628
24.593 34.340
25.577 34.249
26.465 34.198
27.226 34.335
27.684 34.706
28.050 34.870
28.478 35.127
28.779 35.312
29.070 35.378
29.345 35.425
29.731 35.427
> AT/AF
29.731 35.427
30.221 35.154
30.793 34.991
31.256 34.826
31.740 34.634
32.172 34.487
32.668 34.390
33.101 34.290
33.735 34.302
34.054 34.505
34.500 34.785
> CO\PM
-82.875 7.366
-83.074 7.592
-83.233 7.849
-83.360 7.928
-83.605 8.044
-83.838 8.182
-84.007 8.300
-84.158 8.474
-84.419 8.637
-84.686 8.772
-85.044 8.937
-85.381 9.089
-85.612 9.203
-85.910 9.423
-86.204 9.684
-86.449 9.938
-86.648 10.235
> ND/NZ
-78.646 7.337
-78.715 7.232
-78.762 7.100
-78.747 7.031
-78.698 6.997
-78.599 6.942
-78.542 6.853
-78.443 6.757
-78.400 6.660
-78.336 6.564
-78.265 6.502
-78.195 6.461
-78.151 6.343
-78.129 6.239
-78.086 6.122
-78.050 6.053
-78.008 6.005
> CA\ND
-76.684 8.731
-76.701 9.017
-76.706 9.379
-76.703 9.761
-76.594 10.090
-76.456 10.328
-76.275 10.574
-76.064 10.765
-75.905 11.087
-75.631 11.390
-75.370 11.595
-75.123 11.764
-74.796 11.914
-74.476 12.021
-74.307 12.224
-74.058 12.386
-73.874 12.743
-73.632 13.058
-73.303 13.290
-72.916 13.368
-72.428 13.410
-71.840 13.465
-71.195 13.503
-70.952 13.438
