event_id n event dist az channel stream loc time unc pol toang phase residual tot_wt dist_wt st_q_wt T50 Aref T50Ex Tdom s/n_HF s/n_BRB mB Mwp T0 Mwpd status
1053543731406 321 2 3.71 279.9 GE_CART_--_BHZ HF L 2003.05.21-19:03:05.71 0.150 1 46.6 P -2.15 1.000 1.000 1.000 540.898 591.584 0.914 -1.000 9.610 0.728 -9.000 -9.000 51.497 -9.000 s/n_BRB_low
1053543075143 318 3 75.12 237.7 US_MIAR_--_BHZ HF L 2003.05.21-19:02:55.43 0.125 -1 19.1 P -0.44 0.678 0.678 1.000 0.000 102.466 0.000 -1.000 6.019 0.971 6.375 -9.000 11.100 -9.000 s/n_BRB_low
1053543731406 317 2 2.90 9.9 GE_MAHO_--_BHZ HF L 2003.05.21-19:02:54.00 0.200 0 46.7 P -2.69 1.000 1.000 1.000 2269.602 3389.065 0.670 -1.000 16.699 0.798 -9.000 -9.000 12.850 -9.000 s/n_BRB_low
1053543075143 313 3 72.29 239.8 US_OXF_--_BHZ BRB L 2003.05.21-19:02:37.29 0.200 -1 19.9 P -1.95 0.698 0.698 1.000 0.000 300.025 0.000 -1.000 13.195 1.500 6.706 -9.000 11.350 -9.000 s/n_BRB_low
-1 308 -1 -1 -1 GE_KWP_--_BHZ HF L 2003.05.21-19:01:58.90 0.100 0 -1.0 -1 -1 -1 -1 1.000 0.000 85.173 0.000 -1.000 3.575 0.548 -9.000 -9.000 11.950 -9.000 s/n_BRB_low
1053543075143 307 3 64.97 302.7 US_ACSO_--_BHZ HF L 2003.05.21-19:01:53.58 0.175 -1 21.7 P -0.04 0.750 0.750 1.000 0.000 177.815 0.000 -1.000 4.233 1.212 6.329 -9.000 11.175 -9.000 s/n_BRB_low
1053542661964 306 1 63.19 301.0 US_MCWV_--_BHZ HF L 2003.05.21-19:01:41.88 0.150 -1 -1.0 PKiKP 4.63 0.000 0.763 1.000 37.834 92.865 0.407 -1.000 4.506 0.901 -9.000 -9.000 10.850 -9.000 s/n_BRB_low
1053542661964 305 1 61.41 301.2 US_SSPA_--_BHZ HF L 2003.05.21-19:01:29.48 0.200 1 -1.0 PKiKP -5.48 0.000 0.776 1.000 0.000 118.656 0.000 -1.000 9.615 1.018 -9.000 -9.000 11.700 -9.000 s/n_BRB_low
1053542661964 304 1 61.22 299.5 LD_SDMD_--_BHZ HF L 2003.05.21-19:01:27.23 0.120 -1 -1.0 PKiKP -7.50 0.000 0.777 1.000 0.000 238.297 0.000 -1.000 3.558 1.146 -9.000 -9.000 11.120 -9.000 s/n_BRB_low
1053543075143 303 3 60.55 299.9 LD_MVL_--_BHZ HF L 2003.05.21-19:01:24.50 0.225 -1 22.8 P 0.41 0.782 0.782 1.000 0.000 202.178 0.000 -1.000 4.244 0.913 5.841 -9.000 11.275 -9.000 s/n_BRB_low
1053543075143 297 3 57.68 305.7 CN_GAC_--_BHZ HF L 2003.05.21-19:01:04.40 0.175 -1 23.6 P 0.17 0.802 0.802 1.000 219.527 627.895 0.350 -1.000 4.759 0.741 6.109 -9.000 11.375 -9.000 s/n_BRB_low
1053543075143 294 3 55.87 303.0 US_LBNH_--_BHZ HF L 2003.05.21-19:00:51.89 0.125 -1 24.0 P 0.50 0.815 0.815 1.000 15.229 58.465 0.260 -1.000 5.242 1.053 5.627 -9.000 -1.000 -9.000 s/n_BRB_low
